PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
Fashion (B.S.) - Fashion Design - Resident,Fashion Major (B.S.) (0.92); Fashion (B.S.) - Fashion Merchandising - Resident (0.66); Interior Design Major (B.S.) (0.65); Family & Consumer Sciences Major (B.S.) (0.62); Family & Child Development Major (B.S.) (0.61)
Fashion (B.S.) - Fashion Merchandising - Resident,Fashion Major (B.S.) (0.84); Family & Consumer Sciences Major (B.S.) (0.72); Fashion (B.S.) - Fashion Design - Resident (0.66); Interior Design Major (B.S.) (0.65); Family & Consumer Sciences (B.S.) - Professional & Creative Industries - Resident (0.64)
Fashion Major (B.S.),Fashion (B.S.) - Fashion Design - Resident (0.92); Fashion (B.S.) - Fashion Merchandising - Resident (0.84); Family & Consumer Sciences Major (B.S.) (0.77); Interior Design Major (B.S.) (0.72); Family & Child Development Major (B.S.) (0.71)
Fashion Merchandising Major (B.S.),Digital Design Major (B.S.) (0.74); Master of Arts in Interdisciplinary Studies (M.A.) (0.72); Interdisciplinary Research Major (B.S.) (0.72); Interdisciplinary Studies Major (B.A. or B.S.) (0.71); Business Administration & Data Analysis Major (B.S.) (0.71)
Film Production & Content Development Major (B.S.),Film Production & Creative Development Major (B.F.A.) (0.92); Business Administration & Data Analysis Major (B.S.) (0.50); Digital Media & Journalism Major (B.S.) (0.48); Interdisciplinary Studies Major (B.A. or B.S.) (0.47); Christian Leadership & Management Major (B.S.) (0.44)
Film Production & Creative Development Major (B.F.A.),Film Production & Content Development Major (B.S.) (0.92); Interdisciplinary Studies Major (B.A. or B.S.) (0.63); Business Administration & Data Analysis Major (B.S.) (0.63); Digital Media & Journalism Major (B.S.) (0.62); Master of Arts in Interdisciplinary Studies (M.A.) (0.60)
Financial Planning Certificate - Online,Financial Planning Certificate - Online (1.00); Business Administration & Data Analysis (B.S.) - Financial Planning - Resident (1.00); Master of Science in Finance (M.S.) (0.64); Business Administration & Data Analysis Major (B.S.) (0.63); Interdisciplinary Studies Major (B.A. or B.S.) (0.57)
Fire Administration (B.S.) - Emergency Management - Online,Fire Administration Major (B.S.) (0.80); Master of Science in Public Safety (M.S.) (0.68); Master of Science in Criminal Justice (M.S.) (0.66); Interdisciplinary Research Major (B.S.) (0.66); Interdisciplinary Studies Major (B.A. or B.S.) (0.66)
Fire Administration (B.S.) - Emergency Medical Services - Online,Fire Administration Major (B.S.) (0.71); Interdisciplinary Studies Major (B.A. or B.S.) (0.59); Master of Arts in Interdisciplinary Studies (M.A.) (0.59); Master of Business Administration (M.B.A.) (0.58); Business Administration & Data Analysis Major (B.S.) (0.58)
Fire Administration (B.S.) - Fire Science - Online,Fire Administration Major (B.S.) (0.74); Interdisciplinary Studies Major (B.A. or B.S.) (0.53); Interdisciplinary Research Major (B.S.) (0.52); Master of Arts in Interdisciplinary Studies (M.A.) (0.51); Master of Arts in Applied Ministry (M.A.) (0.50)
Fire Administration Major (B.S.),Public Administration Major (B.S.) (0.81); Master of Arts in Interdisciplinary Studies (M.A.) (0.80); Fire Administration (B.S.) - Emergency Management - Online (0.80); Interdisciplinary Studies Major (B.A. or B.S.) (0.80); Government Major (B.A./B.S.) (0.79)
Forensic Science Major (B.S.),Biochemistry & Molecular Biology Major (B.S.) (0.97); Biotechnology Major (B.S.) (0.95); Chemistry Major (B.S.) (0.95); Conservation & Environmental Biology Major (B.S.) (0.95); General Biology Major (B.S.) (0.95)
Fundamentals of Communication - Graduate Certificate,Applied Communication Studies - Graduate Certificate (0.83); Organizational Communication - Graduate Certificate (0.79); Master of Arts in Communication (M.A.) (0.60); Master of Arts in Professional Communication (M.A.) (0.59); Doctor of Philosophy in Communication (Ph.D.) (0.56)
General Biology Major (B.S.),Biochemistry & Molecular Biology Major (B.S.) (0.99); Biopsychology Major (B.S.) (0.98); Biotechnology Major (B.S.) (0.98); Zoology Major (B.S.) (0.97); Chemistry Major (B.S.) (0.95)
Geography Major (B.S.),Social Sciences Major (B.S.) (0.87); Interdisciplinary Research Major (B.S.) (0.79); Master of Arts in Interdisciplinary Studies (M.A.) (0.79); Interdisciplinary Studies Major (B.A. or B.S.) (0.78); Master of Arts in Applied Ministry (M.A.) (0.78)
Gifted Education - Graduate Certificate,"Master of Education in Special & Gifted Education (M.Ed.) (0.83); Special & Gifted Education (M.Ed.) - Twice Exceptionalities: With Transition & Special Needs, Gifted Education, & Special Education General Curriculum (add-on endorsement) (0.69); Master of Arts in Educational Studies (M.A.) (0.62); Master of Education in Curriculum & Instruction (M.Ed.) (0.52); Elementary Education Major (B.Ed.) (0.50)"
Global Health - Graduate Certificate,Public Health (M.P.H.) - Global Health (0.98); Master of Public Health (M.P.H.) (0.90); Public Health (M.P.H.) - Environmental Health (0.87); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.85); Public Health (M.P.H.) - Health Promotion (0.81)
Global and Intercultural Engagement Major (B.S.),Teaching English as a Second Language Major (B.S.)  (0.99); English as a Second Language Education P-12 Major (B.Ed.) (0.96); Spanish Education P-12 Major (B.Ed.) (0.77); Interdisciplinary Studies Major (B.A. or B.S.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.73)
Government (B.S.) - Intelligence - Online,Government (B.S.) - National Security and Intelligence - Resident (0.81); International Relations (B.A.) - Strategic Intelligence Studies - Resident (0.81); Government Major (B.A./B.S.) (0.78); International Relations Major (B.A.) (0.74); Government (B.S.) - National Security - Online (0.72)
Government (B.S.) - National Security - Online,Government (B.S.) - National Security and Intelligence - Resident (0.90); International Relations (B.A.) - Strategic Intelligence Studies - Resident (0.81); Government Major (B.A./B.S.) (0.79); International Relations Major (B.A.) (0.77); Government (B.S.) - Intelligence - Online (0.72)
Government (B.S.) - National Security and Intelligence - Resident,Government (B.S.) - National Security - Online (0.90); Government (B.S.) - Intelligence - Online (0.81); International Relations (B.A.) - Strategic Intelligence Studies - Resident (0.81); Government Major (B.A./B.S.) (0.80); International Relations Major (B.A.) (0.77)
Government (B.S.) - Politics & Policy - Resident,Government Major (B.A./B.S.) (0.90); Political Science Major (B.S.) (0.86); Government Major (A.A.) (0.83); International Relations Major (B.A.) (0.81); International Relations (B.A.) - International Politics & Policy - Resident (0.78)
Government (B.S.) - Public Administration - Online,Public Administration Certificate - Online (0.88); Public Administration Major (B.S.) (0.87); Government Major (B.A./B.S.) (0.73); Public Administration - Executive Certificate (0.70); Doctor of Public Administration (D.P.A.) (0.68)
Government Major (A.A.),Political Science Major (B.S.) (0.86); Government Major (B.A./B.S.) (0.85); Public Administration Major (B.S.) (0.83); Government (B.S.) - Politics & Policy - Resident (0.83); International Relations Major (B.A.) (0.81)
Government Major (B.A./B.S.),International Relations Major (B.A.) (0.94); Political Science Major (B.S.) (0.90); Government (B.S.) - Politics & Policy - Resident (0.90); Master of Arts in Interdisciplinary Research (M.A.) (0.85); Master of Arts in Interdisciplinary Studies (M.A.) (0.85)
Graduate of Theology Diploma (Th.G.),Biblical Studies Major (A.A.) (0.83); Religion Major (B.S.) (0.83); Biblical Studies Major (B.A.) (0.82); Religious Studies: Bible & Theology Major (B.A.) (0.82); Religious Studies: Bible & Theology Major (B.S.) (0.81)
Graphic Design Major (B.F.A.),Digital Design Major (B.S.) (0.95); Studio Art Major (B.F.A.) (0.92); Studio & Digital Arts Major (B.S.) (0.91); Studio & Digital Arts (B.S.) - Graphic Design - Resident (0.87); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.86)
Guitar Performance Major (B.M.),"String Performance Major (B.M.) (0.98); Woodwind, Brass, or Percussion Performance Major (B.M.) (0.97); Music Major (B.A./B.S.) Instrumental (0.93); Commercial Music Major (B.M.) (0.92); Music in World Cultures Major (B.M.) (0.92)"
Health & Physical Education P-12 Major (B.Ed.),Physical Education & Health Major (B.S.) (0.96); Physical Education & Health (B.S.) Non-Licensure Concentration (0.92); Strength and Conditioning Major (B.S.) (0.91); Interdisciplinary Studies Major (B.A. or B.S.) (0.87); Exercise Science Major (B.S.) (0.84)
Health Sciences Certificate - Online,Health Sciences Major (B.S.) (0.71); Public Health (B.S.) - Community Health Promotion - Resident (0.66); Public Health Major (B.S.) (0.64); Master of Arts in Medical Sciences (M.A.) (0.60); Interdisciplinary Studies Major (B.A. or B.S.) (0.58)
Health Sciences Major (B.S.),Informatics Major (B.S.) (0.79); Public Health Major (B.S.) (0.78); Medical Office Assistant Major (A.A.S.) (0.76); Public Health (B.S.) - Community Health Promotion - Resident (0.73); Healthcare Administration Major (B.S.) (0.72)
Healthcare Administration Major (B.S.),Healthcare Management Certificate - Online (0.90); Master of Science in Healthcare Administration (M.S.) (0.87); Business Administration & Data Analysis (B.S.) - Healthcare Management - Online (0.85); Master of Science in Health Informatics (M.S.H.I.) (0.81); Business Administration & Data Analysis (B.S.) - Healthcare Management - Resident (0.79)
Healthcare Management - Graduate Certificate,Healthcare Management Certificate - Online (0.81); Business Administration & Data Analysis (B.S.) - Healthcare Management - Online (0.81); Business Administration & Data Analysis (B.S.) - Healthcare Management - Resident (0.80); Master of Science in Health Informatics (M.S.H.I.) (0.78); Healthcare Administration Major (B.S.) (0.77)
Healthcare Management Certificate - Online,Business Administration & Data Analysis (B.S.) - Healthcare Management - Online (0.92); Healthcare Administration Major (B.S.) (0.90); Business Administration & Data Analysis (B.S.) - Healthcare Management - Resident (0.86); Healthcare Management - Graduate Certificate (0.81); Master of Science in Health Informatics (M.S.H.I.) (0.80)
Higher Education Administration - Executive Certificate,Education Specialist in Higher Education Administration (Ed.S.) (0.88); Doctor of Education in Higher Education Administration (Ed.D.)  (0.84); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.81); Doctor of Philosophy in Music Education (0.76); Doctor of Philosophy in Education (Ph.D.) (0.72)
History - Executive Certificate,Doctor of Philosophy in History (Ph.D.) (0.83); Master of Arts in History (M.A.) (0.72); History Major (B.A. & B.S.)  (0.65); Master of Arts in Public History (M.A.) (0.61); Social Studies Education 6-12 Major (B.Ed.) (0.60)
History Major (A.A.),History Major (B.A. & B.S.)  (0.76); Social Studies Education 6-12 Major (B.Ed.) (0.68); Social Sciences Major (B.S.) (0.68); Military History Major (A.A.) (0.66); History - Executive Certificate (0.55)
History Major (B.A. & B.S.) ,Social Studies Education 6-12 Major (B.Ed.) (0.88); Military History Major (A.A.) (0.77); History Major (A.A.) (0.76); Social Sciences Major (B.S.) (0.70); Military Studies Major (B.S.) (0.70)
Homeland Security - Advanced Graduate Certificate,Master of Science in Homeland Security & Disaster Management (M.S.) (0.95); Master of Science in National Security (M.S.) (0.77); Master of Science in Public Safety (M.S.) (0.75); Master of Science in Criminal Justice (M.S.) (0.65); Government (B.S.) - National Security and Intelligence - Resident (0.61)
Hospitality Management Major (B.S.),Sport Management Major (B.S.) (0.96); Coaching Major (B.S.) (0.86); Master of Science in Sport Management (M.S.) (0.85); Master of Arts in Applied Ministry (M.A.) (0.78); Master of Arts in Interdisciplinary Studies (M.A.) (0.77)
Human Services Major (B.S.),Psychology Major (B.S.) (0.84); Doctor of Psychology in Clinical Psychology (Psy.D.) (0.80); Master of Science in Psychology (M.S.) (0.79); Master of Arts in Interdisciplinary Studies (M.A.) (0.79); Doctor of Philosophy in Psychology (Ph.D.) (0.78)
Industrial & Systems Engineering Major (B.S.),Industrial Engineering Technology Major (B.S.) (0.90); Civil Engineering Major (B.S.) (0.82); Computer Engineering Major (B.S.) (0.80); Engineering Education 6-12 Major (B.Ed.) (0.79); Electrical Engineering Major (B.S.) (0.75)
Industrial Engineering Technology Major (B.S.),Industrial & Systems Engineering Major (B.S.) (0.90); Civil Engineering Major (B.S.) (0.89); Engineering Education 6-12 Major (B.Ed.) (0.84); Computer Engineering Major (B.S.) (0.82); Electrical Engineering Major (B.S.) (0.79)
Informatics Major (B.S.),Information Systems Major (B.S.) (0.82); Information Systems Major (A.A.) (0.80); Information Technology Major (B.S.) (0.80); Health Sciences Major (B.S.) (0.79); Interdisciplinary Research Major (B.S.) (0.75)
Information Assurance Certificate - Online,Data Networking Certificate - Online (0.91); Information Systems Major (B.S.) (0.67); Information Technology Major (B.S.) (0.66); Master of Science in Information Systems (M.S.I.S.) (0.59); Master of Science in Information Technology (M.S.I.T.) (0.58)
Information Systems Major (A.A.),Information Systems Major (B.S.) (0.85); Information Technology Major (B.S.) (0.82); Informatics Major (B.S.) (0.80); Web Development Certificate - Online (0.78); Computational Mathematics Major (B.S.) (0.75)
Information Systems Major (B.S.),Information Technology Major (B.S.) (0.92); Information Systems Major (A.A.) (0.85); Informatics Major (B.S.) (0.82); Computer Science Major (B.S.) (0.82); Interdisciplinary Research Major (B.S.) (0.80)
Information Technology Major (B.S.),Information Systems Major (B.S.) (0.92); Computer Science Major (B.S.) (0.82); Information Systems Major (A.A.) (0.82); Web Development Certificate - Online (0.80); Informatics Major (B.S.) (0.80)
Instructional Design & Technology - Executive Certificate,Education (Ph.D.) - Instructional Design & Technology (0.98); Education Specialist in Instructional Design and Technology (Ed.S.) (0.92); Doctor of Education in Instructional Design and Technology (Ed.D.) (0.89); Doctor of Philosophy in Education (Ph.D.) (0.79); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.73)
Interdisciplinary Research Major (B.S.),Interdisciplinary Studies Major (B.A. or B.S.) (0.92); Master of Arts in Interdisciplinary Studies (M.A.) (0.90); Master of Arts in Applied Ministry (M.A.) (0.89); Master of Arts in Interdisciplinary Research (M.A.) (0.88); Criminal Justice Major (B.S.) (0.87)
Interdisciplinary Studies Major (A.A.),Interdisciplinary Research Major (B.S.) (0.33); Interdisciplinary Studies Major (B.A. or B.S.) (0.32); Master of Arts in Applied Ministry (M.A.) (0.31); Master of Arts in Interdisciplinary Studies (M.A.) (0.31); Master of Arts in Professional Writing (M.A.) (0.31)
Interdisciplinary Studies Major (B.A. or B.S.),Master of Arts in Interdisciplinary Studies (M.A.) (0.92); Interdisciplinary Research Major (B.S.) (0.92); Master of Arts in Applied Ministry (M.A.) (0.91); Middle Education Major (B.Ed.) (0.89); Elementary Education Major (B.Ed.) (0.89)
Interior Design Major (B.S.),Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.79); Interdisciplinary Studies Major (B.A. or B.S.) (0.77); Family & Consumer Sciences Major (B.S.) (0.77); Studio Art Major (B.F.A.) (0.75); Exercise Science Major (B.S.) (0.74)
International Business Certificate - Online,Business Administration & Data Analysis Major (B.S.) (0.69); Business Administration Certificate - Online (0.65); Master of Business Administration (M.B.A.) (0.63); Doctor of Business Administration (D.B.A.) (0.59); Management & Leadership - Graduate Certificate (0.58)
International Relations (B.A.) - International Politics & Policy - Resident,International Relations Major (B.A.) (0.89); Political Science Major (B.S.) (0.83); Government Major (B.A./B.S.) (0.82); Government (B.S.) - Politics & Policy - Resident (0.78); Master of Arts in Public Policy (M.A.P.P.) (0.76)
International Relations (B.A.) - Strategic Intelligence Studies - Resident,Government (B.S.) - Intelligence - Online (0.81); Government (B.S.) - National Security and Intelligence - Resident (0.81); Government (B.S.) - National Security - Online (0.81); International Relations Major (B.A.) (0.77); Government Major (B.A./B.S.) (0.73)
International Relations Major (B.A.),Government Major (B.A./B.S.) (0.94); International Relations (B.A.) - International Politics & Policy - Resident (0.89); Political Science Major (B.S.) (0.89); Master of Arts in Interdisciplinary Research (M.A.) (0.82); Master of Arts in Interdisciplinary Studies (M.A.) (0.81)
Journalism Education Certificate - Resident & Online,Digital Media & Journalism - Digital Journalism - Resident (0.75); Digital Media & Journalism Major (B.S.) (0.72); Interdisciplinary Studies Major (B.A. or B.S.) (0.69); Interdisciplinary Research Major (B.S.) (0.67); Master of Arts in Interdisciplinary Studies (M.A.) (0.67)
Juris Doctor (J.D.),Juris Master (J.M.) (0.85); Master of Arts in Interdisciplinary Research (M.A.) (0.83); Interdisciplinary Studies Major (B.A. or B.S.) (0.82); Juris Master in American Legal Studies (J.M.) (0.81); Master of Business Administration (M.B.A.) (0.81)
Juris Master (J.M.),Juris Master in International Legal Studies (J.M.) (0.89); Master of Laws in International Legal Studies (LL.M.) (0.87); Juris Master in American Legal Studies (J.M.) (0.86); Juris Doctor (J.D.) (0.85); Master of Business Administration (M.B.A.) (0.83)
Juris Master in American Legal Studies (J.M.),Juris Master (J.M.) (0.86); Juris Doctor (J.D.) (0.81); Paralegal Studies Major (A.A.) (0.76); Paralegal Studies Certificate - Online (0.75); Paralegal Studies Major (B.S.) (0.74)
Juris Master in International Legal Studies (J.M.),Master of Laws in International Legal Studies (LL.M.) (0.97); Juris Master (J.M.) (0.89); Juris Doctor (J.D.) (0.73); Master of Business Administration (M.B.A.) (0.72); Master of Arts in Interdisciplinary Research (M.A.) (0.71)
Law & Policy (B.A.) - Pre-Law - Resident,Law and Policy Major (B.A./B.S.) (0.79); Juris Doctor (J.D.) (0.69); Criminal Justice Major (B.S.) (0.66); Juris Master in American Legal Studies (J.M.) (0.66); Juris Master (J.M.) (0.66)
Law & Policy (B.S.) - Public Policy - Online,Law and Policy Major (B.A./B.S.) (0.84); Government Major (B.A./B.S.) (0.70); Doctor of Philosophy in Public Policy (Ph.D.) (0.68); Government (B.S.) - Politics & Policy - Resident (0.67); Doctor of Law & Policy (D.L.P.) (0.67)
Law & Policy - Executive Certificate,Doctor of Law & Policy (D.L.P.) (0.87); Law and Policy Major (B.A./B.S.) (0.70); Juris Master (J.M.) (0.67); Juris Doctor (J.D.) (0.67); Juris Master in American Legal Studies (J.M.) (0.64)
Law and Policy Major (B.A./B.S.),Law & Policy (B.S.) - Public Policy - Online (0.84); Government Major (B.A./B.S.) (0.81); Paralegal Studies Major (B.S.) (0.81); Master of Arts in Interdisciplinary Research (M.A.) (0.79); Political Science Major (B.S.) (0.79)
Leadership - Advanced Graduate Certificate,Master of Arts in Executive Leadership (M.A.) (0.98); Management & Leadership - Graduate Certificate (0.79); Master of Business Administration (M.B.A.) (0.74); Master of Nonprofit Management (M.N.M.) (0.74); Doctor of Business Administration (D.B.A.) (0.74)
Management & Leadership - Graduate Certificate,Master of Business Administration (M.B.A.) (0.84); Doctor of Business Administration (D.B.A.) (0.84); Master of Science in Human Resource Management (M.S.) (0.81); Master of Arts in Executive Leadership (M.A.) (0.81); Business Administration & Data Analysis Major (B.S.) (0.80)
Marketing - Graduate Certificate,Master of Science in Marketing (M.S.) (0.77); Doctor of Business Administration (D.B.A.) (0.59); Master of Business Administration (M.B.A.) (0.55); Business Administration & Data Analysis Major (B.S.) (0.55); Communication (B.S.) - Integrated Communication - Resident (0.52)
Master of Arts in Addiction Counseling (M.A.),Master of Arts in Marriage & Family Therapy (M.A.) (0.92); Master of Arts in Clinical Mental Health Counseling (M.A.) (0.91); Master of Arts in Marriage & Family Counseling (M.A.) (0.91); Addiction Studies - Graduate Certificate (0.87); Master of Education in Curriculum & Instruction (M.Ed.) (0.86)
Master of Arts in Applied Ministry (M.A.),Master of Arts in Interdisciplinary Studies (M.A.) (0.96); Master of Arts in Interdisciplinary Research (M.A.) (0.93); Interdisciplinary Studies Major (B.A. or B.S.) (0.91); Interdisciplinary Research Major (B.S.) (0.89); Master of Arts in Religion (M.A.R.) (0.88)
Master of Arts in Applied Psychology (M.A.),Doctor of Philosophy in Psychology (Ph.D.) (0.88); Master of Science in Psychology (M.S.) (0.86); Psychology (M.S.) - General Psychology (0.82); Psychology (Ph.D.) - General Psychology (0.81); Human Services Major (B.S.) (0.78)
Master of Arts in Biblical Exposition (M.A.),Master of Arts in Biblical Studies (M.A.) (0.89); Master of Arts in Christian Ministry (M.A.) (0.88); Master of Arts in Theological Studies (M.A.) (0.86); Master of Arts in Educational Ministries (M.A.) (0.84); Master of Arts in Church Planting (M.A.) (0.82)
Master of Arts in Biblical Languages (M.A.) ,Divinity (M.Div.) - Biblical Languages (90 hour) (0.88); Master of Arts in Biblical Studies (M.A.) (0.79); Doctor of Philosophy in Bible Exposition (Ph.D.) (0.73); Biblical Languages (M.A.) - Thesis (0.72); Religious Studies (B.S.) - Biblical Languages - Resident (0.70)
Master of Arts in Biblical Studies (M.A.),Master of Arts in Biblical Exposition (M.A.) (0.89); Religious Studies: Bible & Theology Major (B.S.) (0.80); Biblical Studies Major (B.A.) (0.80); Doctor of Philosophy in Bible Exposition (Ph.D.) (0.80); Biblical Studies Major (A.A.) (0.79)
Master of Arts in Chaplaincy (M.A.),Master of Arts in Sports Chaplaincy (M.A.) (0.91); Master of Divinity in Professional Chaplaincy (M.Div.) (0.90); Master of Arts in Religion (M.A.R.) (0.80); Professional Chaplaincy (M.Div.) - Military (0.80); Professional Chaplaincy (M.Div.) - Community (0.79)
Master of Arts in Christian Apologetics (M.A.),Master of Religious Education (M.R.E.) (0.94); Master of Arts in Religion (M.A.R.) (0.86); Master of Theology (Th.M.) (0.86); Theology Major (B.S.) (0.85); Religion Major (B.S.) (0.85)
Master of Arts in Christian Ministry (M.A.),Master of Arts in Theological Studies (M.A.) (0.93); Master of Arts in Church Planting (M.A.) (0.93); Master of Arts in Educational Ministries (M.A.) (0.92); Master of Religious Education (M.R.E.) (0.89); Master of Arts in Biblical Exposition (M.A.) (0.88)
Master of Arts in Church Planting (M.A.),Master of Arts in Christian Ministry (M.A.) (0.93); Master of Arts in Religion (M.A.R.) (0.87); Master of Arts in Theological Studies (M.A.) (0.86); Master of Arts in Educational Ministries (M.A.) (0.86); Master of Religious Education (M.R.E.) (0.86)
Master of Arts in Clinical Mental Health Counseling (M.A.),Master of Arts in Marriage & Family Counseling (M.A.) (0.99); Master of Arts in Marriage & Family Therapy (M.A.) (0.97); Master of Arts in Addiction Counseling (M.A.) (0.91); Master of Education in School Counseling (M.Ed.) (0.90); Mental Health Studies - Graduate Certificate (0.89)
Master of Arts in Communication (M.A.),Master of Arts in Professional Communication (M.A.) (0.84); Master of Science in Social Media Management (M.S.) (0.80); Master of Arts in Digital Content (M.A.) (0.80); Master of Arts in Strategic Communication (M.A.) (0.78); Doctor of Philosophy in Communication (Ph.D.) (0.74)
Master of Arts in Composition (M.A.),Master of Arts in Professional Writing (M.A.) (0.84); Master of Arts in Interdisciplinary Studies (M.A.) (0.77); Master of Fine Arts in Creative Writing (M.F.A.) (0.76); Interdisciplinary Research Major (B.S.) (0.74); Writing Major (B.S.) (0.73)
Master of Arts in Digital Content (M.A.),Master of Arts in Strategic Communication (M.A.) (0.94); Master of Science in Social Media Management (M.S.) (0.94); Master of Arts in Professional Communication (M.A.) (0.84); Master of Arts in Communication (M.A.) (0.80); Strategic Communication - Graduate Certificate (0.71)
Master of Arts in Educational Ministries (M.A.),Master of Arts in Christian Ministry (M.A.) (0.92); Master of Arts in Theological Studies (M.A.) (0.91); Master of Religious Education (M.R.E.) (0.87); Master of Arts in Church Planting (M.A.) (0.86); Master of Arts in Religion (M.A.R.) (0.86)
Master of Arts in Educational Studies (M.A.),Doctor of Education in Curriculum & Instruction (Ed.D.) (0.88); Master of Education in Curriculum & Instruction (M.Ed.) (0.84); Master of Education in Higher Education (M.Ed.) (0.84); Master of Arts in Applied Ministry (M.A.) (0.83); Education Specialist in Curriculum & Instruction (Ed.S.) (0.82)
Master of Arts in English (M.A.),Master of Arts in Literature (M.A.) (0.80); Writing Major (B.S.) (0.78); English & Writing Major (B.S.) (0.77); English Major (B.A.) (0.77); Creative Writing Major (A.A.) (0.76)
Master of Arts in Ethnomusicology (M.A.),Music in World Cultures - Ethnomusicology - Graduate Certificate (0.95); Master of Arts in Music Education (M.A.)  (0.75); Master of Music in Performance (M.M.) (0.72); Music Education (M.A.) - Music Studies (0.69); Master of Arts in Applied Ministry (M.A.) (0.64)
Master of Arts in Executive Leadership (M.A.),Leadership - Advanced Graduate Certificate (0.98); Management & Leadership - Graduate Certificate (0.81); Master of Science in Accounting (M.S.) (0.77); Master of Business Administration (M.B.A.) (0.77); Doctor of Business Administration (D.B.A.) (0.76)
Master of Arts in Geography (M.A.),Geography Major (B.S.) (0.77); Master of Science Geographic Information Systems (M.S.) (0.76); Social Sciences Major (B.S.) (0.75); Master of Public Administration (M.P.A.) (0.75); Master of Arts in Interdisciplinary Studies (M.A.) (0.74)
Master of Arts in Global and Intercultural Leadership (M.A.),Master of Arts in Interdisciplinary Studies (M.A.) (0.80); Master of Arts in Applied Ministry (M.A.) (0.80); Master of Arts in Linguistics (M.A.) (0.78); Master of Arts in Interdisciplinary Research (M.A.) (0.78); Interdisciplinary Studies Major (B.A. or B.S.) (0.77)
Master of Arts in History (M.A.),Master of Arts in Public History (M.A.) (0.98); History - Executive Certificate (0.72); Master of Arts in Interdisciplinary Studies (M.A.) (0.71); Doctor of Philosophy in History (Ph.D.) (0.70); Master of Arts in Interdisciplinary Research (M.A.) (0.69)
Master of Arts in Human Services Counseling (M.A.),Master of Arts in Pastoral Counseling (M.A.) (0.95); Master of Arts in Interdisciplinary Studies (M.A.) (0.90); Interdisciplinary Studies Major (B.A. or B.S.) (0.87); Master of Arts in Applied Ministry (M.A.) (0.86); Master of Education in Curriculum & Instruction (M.Ed.) (0.85)
Master of Arts in Human-Centered Design (M.A.),Master of Arts in Visual Communication Design (M.A.) (0.51); Master of Fine Arts in Graphic Design (M.F.A.) (0.50); Master of Fine Arts in Studio Arts (M.F.A.) (0.50); Graphic Design Major (B.F.A.) (0.49); Digital Design Major (B.S.) (0.49)
Master of Arts in Humanitarian Action & Human Rights (M.A.),Master of Arts in Interdisciplinary Studies (M.A.) (0.80); Master of Arts in Human Services Counseling (M.A.) (0.78); Master of Arts in Interdisciplinary Research (M.A.) (0.78); Master of Arts in Applied Ministry (M.A.) (0.78); Interdisciplinary Studies Major (B.A. or B.S.) (0.77)
Master of Arts in Interdisciplinary Research (M.A.),Master of Arts in Interdisciplinary Studies (M.A.) (0.96); Master of Arts in Applied Ministry (M.A.) (0.93); Religion Major (B.S.) (0.89); Interdisciplinary Studies Major (B.A. or B.S.) (0.89); Master of Divinity (M.Div.) (0.88)
Master of Arts in Interdisciplinary Studies (M.A.),Master of Arts in Applied Ministry (M.A.) (0.96); Master of Arts in Interdisciplinary Research (M.A.) (0.96); Interdisciplinary Studies Major (B.A. or B.S.) (0.92); Interdisciplinary Research Major (B.S.) (0.90); Master of Arts in Human Services Counseling (M.A.) (0.90)
Master of Arts in Linguistics (M.A.),Master of Arts in Teaching English as a Second Language (M.A.) (0.84); Teaching English as a Second/Foreign Language Major (B.A.) (0.81); Master of Arts in Global and Intercultural Leadership (M.A.) (0.78); Teaching English as a Second Language Certificate - Resident & Online (0.72); Master of Arts in Interdisciplinary Studies (M.A.) (0.70)
Master of Arts in Literature (M.A.),Master of Arts in English (M.A.) (0.80); English Major (B.A.) (0.71); English & Writing Major (B.S.) (0.71); Creative Writing Major (A.A.) (0.69); Writing Major (B.S.) (0.67)
Master of Arts in Marriage & Family Counseling (M.A.),Master of Arts in Clinical Mental Health Counseling (M.A.) (0.99); Master of Arts in Marriage & Family Therapy (M.A.) (0.98); Master of Arts in Addiction Counseling (M.A.) (0.91); Master of Education in Curriculum & Instruction (M.Ed.) (0.90); Master of Education in School Counseling (M.Ed.) (0.90)
Master of Arts in Marriage & Family Therapy (M.A.),Master of Arts in Marriage & Family Counseling (M.A.) (0.98); Master of Arts in Clinical Mental Health Counseling (M.A.) (0.97); Master of Arts in Addiction Counseling (M.A.) (0.92); Master of Education in Curriculum & Instruction (M.Ed.) (0.91); Master of Education in School Counseling (M.Ed.) (0.89)
